,City,Metro,County,January 2017
8,San Diego,San Diego,San Diego,1.8159999999999998
91,Chula Vista,San Diego,San Diego,1.4240000000000002
124,Oceanside,San Diego,San Diego,1.554
167,El Cajon,San Diego,San Diego,1.486
202,Escondido,San Diego,San Diego,1.47
278,Vista,San Diego,San Diego,1.456
318,Carlsbad,San Diego,San Diego,1.584
560,La Mesa,San Diego,San Diego,1.584
593,San Marcos,San Diego,San Diego,1.466
598,Spring Valley,San Diego,San Diego,1.544
722,Encinitas,San Diego,San Diego,2.106
739,National City,San Diego,San Diego,1.704
819,Santee,San Diego,San Diego,1.6440000000000001
890,Poway,San Diego,San Diego,1.504
1086,Fallbrook,San Diego,San Diego,1.206
1107,Lakeside,San Diego,San Diego,1.5119999999999998
1215,Ramona,San Diego,San Diego,1.262
1743,Imperial Beach,San Diego,San Diego,1.922
1869,Lemon Grove,San Diego,San Diego,1.6340000000000001
2240,Coronado,San Diego,San Diego,3.484
2252,Valley Center,San Diego,San Diego,1.17
2874,Bonita,San Diego,San Diego,1.286
3487,Alpine,San Diego,San Diego,1.252
3694,Solana Beach,San Diego,San Diego,2.612
7165,Del Mar,San Diego,San Diego,4.268
7574,Jamul,San Diego,San Diego,1.192
7923,Bonsall,San Diego,San Diego,1.286
8360,Rancho Santa Fe,San Diego,San Diego,2.298
8965,Julian,San Diego,San Diego,1.558
9453,Pauma Valley,San Diego,San Diego,1.298
9990,Descanso,San Diego,San Diego,1.43
10854,Borrego Springs,San Diego,San Diego,1.288
11059,Hidden Meadows,San Diego,San Diego,1.1059999999999999
11593,Santa Ysabel,San Diego,San Diego,1.3359999999999999
11821,Campo,San Diego,San Diego,1.4080000000000001
